model,head,circular_r,circular_mean_deg,angular_mae,n_peaks,peaks,is_structured,chi2
poc_a (baseline),coa_phase,0.8478153578642278,152.03075681126572,1.5699115409360993,1,145°:0.266,True,8127.051999999856
poc_a (baseline),polarization_angle,0.49428634514996045,50.755615448283336,0.7835510788582977,1,72°:0.132,True,2645.835999999952
poc_a (baseline),inclination,0.6287938654878662,132.6011827396012,1.5726335596328795,2,165°:0.108; 105°:0.050,True,2352.615999999958
poc_b (PoC),coa_phase,0.9893771858748349,105.75034813167488,1.5410232691030177,1,105°:0.416,True,20811.50799999963
poc_b (PoC),polarization_angle,0.9870500390195533,89.5668738020141,0.800835147673257,1,92°:0.436,True,19718.547999999646
poc_b (PoC),inclination,0.4651295684999268,1.101222953215985,1.59134763750397,0,,True,1859.9919999999668
tcn,coa_phase,0.8556007764249532,334.7822662021224,1.5976788090412142,1,305°:0.201,True,7310.463999999869
tcn,polarization_angle,0.8778899028068525,101.68007399363755,0.801582496914099,2,88°:0.138; 122°:0.081,True,5229.159999999907
tcn,inclination,0.7977826672508906,240.5987101382706,1.5313353057478345,1,225°:0.142,True,4087.7439999999265
cnn_attention,coa_phase,0.4336688831120351,176.6254159419506,1.60522998183654,3,155°:0.090; 135°:0.083; 255°:0.047,True,1495.1319999999732
cnn_attention,polarization_angle,0.17199603250200005,98.93308958117036,0.7909881658476686,2,147°:0.085; 78°:0.064,True,1153.4919999999793
cnn_attention,inclination,0.36825516257843804,34.50805249251161,1.5346010048816703,2,345°:0.122; 145°:0.068,True,2107.599999999962
